chem,date,delay,price,time
Basic,2023-10-17,8 min Ago,900,01:09:04
Sniper,2023-10-17,8 min Ago,200,01:09:04
Finisher,2023-10-17,8 min Ago,350,01:09:04
Deadeye,2023-10-17,8 min Ago,200,01:09:04
Marksman,2023-10-17,8 min Ago,200,01:09:04
Hawk,2023-10-17,8 min Ago,1000,01:09:04
Artist,2023-10-17,8 min Ago,200,01:09:04
Architect,2023-10-17,8 min Ago,200,01:09:04
Powerhouse,2023-10-17,8 min Ago,200,01:09:05
Maestro,2023-10-17,7 min Ago,200,01:09:05
Engine,2023-10-17,7 min Ago,600,01:09:05
Sentinel,2023-10-17,7 min Ago,200,01:09:05
Guardian,2023-10-17,7 min Ago,200,01:09:05
Gladiator,2023-10-17,7 min Ago,200,01:09:06
Backbone,2023-10-17,7 min Ago,200,01:09:06
Anchor,2023-10-17,7 min Ago,2400,01:09:06
Hunter,2023-10-17,6 min Ago,4300,01:09:07
Catalyst,2023-10-17,6 min Ago,450,01:09:07
Shadow,2023-10-17,16 min Ago,4900,01:09:07
Wall,2023-10-17,6 min Ago,200,01:09:07
Shield,2023-10-17,6 min Ago,200,01:09:07
Cat,2023-10-17,6 min Ago,200,01:09:07
Glove,2023-10-17,6 min Ago,200,01:09:07
GK Basic,2023-10-17,5 min Ago,200,01:09:07
